team1,team2,match_date,toss_winner,toss_decision,winner,player_of_match,venue,city,team1_players,team2_players,season,match_number,match_type,result,result_margin,target_runs,target_overs,super_over
Royal Challengers Bangalore,Kolkata Knight Riders,2008-04-18,Royal Challengers Bangalore,field,Kolkata Knight Riders,BB McCullum,M Chinnaswamy Stadium,Bangalore,"R Dravid, W Jaffer, V Kohli, JH Kallis, CL White, MV Boucher, B Akhil, AA Noffke, P Kumar, Z Khan, SB Joshi","SC Ganguly, BB McCullum, RT Ponting, DJ Hussey, Mohammad Hafeez, LR Shukla, WP Saha, AB Agarkar, AB Dinda, M Kartik, I Sharma",1,1,League,runs,140.0,223.0,20.0,N
Kings XI Punjab,Chennai Super Kings,2008-04-19,Chennai Super Kings,bat,Chennai Super Kings,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"K Goel, JR Hopes, KC Sangakkara, Yuvraj Singh, SM Katich, IK Pathan, P Dharmani, B Lee, PP Chawla, WA Mota, S Sreesanth","PA Patel, ML Hayden, MEK Hussey, MS Dhoni, SK Raina, JDP Oram, S Badrinath, Joginder Sharma, P Amarnath, MS Gony, M Muralitharan",1,2,League,runs,33.0,241.0,20.0,N
Delhi Daredevils,Rajasthan Royals,2008-04-19,Rajasthan Royals,bat,Delhi Daredevils,MF Maharoof,Feroz Shah Kotla,Delhi,"G Gambhir, V Sehwag, S Dhawan, MK Tiwary, KD Karthik, R Bhatia, M Manhas, DL Vettori, MF Maharoof, B Geeves, GD McGrath","T Kohli, YK Pathan, SR Watson, M Kaif, DS Lehmann, RA Jadeja, M Rawat, D Salunkhe, SK Warne, SK Trivedi, MM Patel",1,3,League,wickets,9.0,130.0,20.0,N
Mumbai Indians,Royal Challengers Bangalore,2008-04-20,Mumbai Indians,bat,Royal Challengers Bangalore,MV Boucher,Wankhede Stadium,Mumbai,"L Ronchi, ST Jayasuriya, DJ Thornely, RV Uthappa, PR Shah, AM Nayar, SM Pollock, Harbhajan Singh, MA Khote, A Nehra, DS Kulkarni","S Chanderpaul, R Dravid, LRPL Taylor, JH Kallis, V Kohli, MV Boucher, B Akhil, P Kumar, Z Khan, SB Joshi, R Vinay Kumar",1,4,League,wickets,5.0,166.0,20.0,N
Kolkata Knight Riders,Deccan Chargers,2008-04-20,Deccan Chargers,bat,Kolkata Knight Riders,DJ Hussey,Eden Gardens,Kolkata,"WP Saha, BB McCullum, RT Ponting, SC Ganguly, DJ Hussey, Mohammad Hafeez, LR Shukla, AB Agarkar, AB Dinda, M Kartik, I Sharma","AC Gilchrist, Y Venugopal Rao, VVS Laxman, A Symonds, RG Sharma, SB Styris, AS Yadav, SB Bangar, WPUJC Vaas, RP Singh, PP Ojha",1,5,League,wickets,5.0,111.0,20.0,N
Rajasthan Royals,Kings XI Punjab,2008-04-21,Kings XI Punjab,bat,Rajasthan Royals,SR Watson,Sawai Mansingh Stadium,Jaipur,"M Kaif, Kamran Akmal, YK Pathan, SR Watson, DS Lehmann, RA Jadeja, Pankaj Singh, D Salunkhe, SK Warne, SK Trivedi, MM Patel","K Goel, JR Hopes, KC Sangakkara, DPMD Jayawardene, Yuvraj Singh, IK Pathan, S Sohal, B Lee, PP Chawla, WA Mota, S Sreesanth",1,6,League,wickets,6.0,167.0,20.0,N
Deccan Chargers,Delhi Daredevils,2008-04-22,Deccan Chargers,bat,Delhi Daredevils,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"AC Gilchrist, Y Venugopal Rao, VVS Laxman, A Symonds, RG Sharma, Shahid Afridi, SB Bangar, AS Yadav, WPUJC Vaas, RP Singh, PP Ojha","G Gambhir, V Sehwag, S Dhawan, Shoaib Malik, KD Karthik, MK Tiwary, R Bhatia, MF Maharoof, Mohammad Asif, VY Mahesh, GD McGrath",1,7,League,wickets,9.0,143.0,20.0,N
Chennai Super Kings,Mumbai Indians,2008-04-23,Mumbai Indians,field,Chennai Super Kings,ML Hayden,"MA Chidambaram Stadium, Chepauk",Chennai,"PA Patel, ML Hayden, MEK Hussey, SK Raina, MS Dhoni, JDP Oram, S Badrinath, Joginder Sharma, P Amarnath, MS Gony, M Muralitharan","L Ronchi, ST Jayasuriya, RV Uthappa, SM Pollock, DJ Bravo, AM Nayar, MA Khote, Harbhajan Singh, A Nehra, VS Yeligati, DS Kulkarni",1,8,League,runs,6.0,209.0,20.0,N
Deccan Chargers,Rajasthan Royals,2008-04-24,Rajasthan Royals,field,Rajasthan Royals,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"AC Gilchrist, VVS Laxman, Shahid Afridi, A Symonds, RG Sharma, AS Yadav, SB Bangar, WPUJC Vaas, RP Singh, PP Ojha, D Kalyankrishna","Kamran Akmal, GC Smith, YK Pathan, SR Watson, M Kaif, RA Jadeja, SK Warne, D Salunkhe, Pankaj Singh, SK Trivedi, MM Patel",1,9,League,wickets,3.0,215.0,20.0,N
Kings XI Punjab,Mumbai Indians,2008-04-25,Mumbai Indians,field,Kings XI Punjab,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"K Goel, IK Pathan, KC Sangakkara, Yuvraj Singh, RR Sarwan, DPMD Jayawardene, S Sohal, B Lee, PP Chawla, S Sreesanth, VRV Singh","L Ronchi, ST Jayasuriya, RV Uthappa, DJ Bravo, SS Tiwary, SM Pollock, AM Nayar, Harbhajan Singh, MA Khote, DS Kulkarni, A Nehra",1,10,League,runs,66.0,183.0,20.0,N
Chennai Super Kings,Kolkata Knight Riders,2008-04-26,Kolkata Knight Riders,bat,Chennai Super Kings,JDP Oram,"MA Chidambaram Stadium, Chepauk",Chennai,"PA Patel, ML Hayden, MS Dhoni, MEK Hussey, S Badrinath, SK Raina, JDP Oram, Joginder Sharma, P Amarnath, MS Gony, M Muralitharan","SC Ganguly, BB McCullum, RT Ponting, WP Saha, DJ Hussey, Mohammad Hafeez, LR Shukla, AB Agarkar, M Kartik, I Sharma, AB Dinda",1,11,League,wickets,7.0,136.0,20.0,N
Royal Challengers Bangalore,Rajasthan Royals,2008-04-26,Rajasthan Royals,field,Rajasthan Royals,SR Watson,M Chinnaswamy Stadium,Bangalore,"S Chanderpaul, R Dravid, LRPL Taylor, JH Kallis, V Kohli, MV Boucher, P Kumar, SB Joshi, Z Khan, R Vinay Kumar, A Kumble","GC Smith, M Rawat, YK Pathan, SR Watson, M Kaif, RA Jadeja, D Salunkhe, SK Warne, Sohail Tanvir, SK Trivedi, MM Patel",1,12,League,wickets,9.0,148.0,20.0,N
Mumbai Indians,Deccan Chargers,2008-04-27,Deccan Chargers,field,Deccan Chargers,AC Gilchrist,Dr DY Patil Sports Academy,Mumbai,"L Ronchi, ST Jayasuriya, AM Rahane, RV Uthappa, SM Pollock, AM Nayar, DJ Bravo, MA Khote, A Nehra, DS Kulkarni, SD Chitnis","AC Gilchrist, VVS Laxman, A Symonds, RG Sharma, Shahid Afridi, SB Bangar, AS Yadav, RP Singh, PP Ojha, D Kalyankrishna, DNT Zoysa",1,13,League,wickets,10.0,155.0,20.0,N
Kings XI Punjab,Delhi Daredevils,2008-04-27,Delhi Daredevils,bat,Kings XI Punjab,SM Katich,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"K Goel, SM Katich, KC Sangakkara, DPMD Jayawardene, Yuvraj Singh, TM Srivastava, IK Pathan, B Lee, PP Chawla, S Sreesanth, VRV Singh","G Gambhir, V Sehwag, S Dhawan, Shoaib Malik, MK Tiwary, KD Karthik, R Bhatia, MF Maharoof, VY Mahesh, Mohammad Asif, GD McGrath",1,14,League,wickets,4.0,159.0,20.0,N
Royal Challengers Bangalore,Chennai Super Kings,2008-04-28,Chennai Super Kings,bat,Chennai Super Kings,MS Dhoni,M Chinnaswamy Stadium,Bangalore,"B Chipli, W Jaffer, LRPL Taylor, JH Kallis, MV Boucher, V Kohli, R Dravid, P Kumar, Z Khan, B Akhil, DW Steyn","PA Patel, ML Hayden, MEK Hussey, SK Raina, MS Dhoni, JDP Oram, S Badrinath, JA Morkel, Joginder Sharma, P Amarnath, MS Gony",1,15,League,runs,13.0,179.0,20.0,N
